0.64 0.33 0.00 0.06 0.03 0.03 0.94 1.03 0.72 0.08 0.03 0.19 0.50 0.72 0.58 0.14 0.17
1.29 2.85 1.73 0.44 0.08 0.44 0.98 1.83 1.33 0.58 0.42 0.50 0.92 0.52 0.27 0.06 0.04
0.04 2.04 9.00 3.38 0.21 0.21 0.58 1.08 1.58 0.88 0.46 0.12 0.46 0.54 0.92 0.33 0.12
0.00 0.55 2.87 9.55 6.25 0.30 0.34 0.79 1.24 1.27 0.60 0.36 0.19 0.25 0.58 0.12 0.33
0.00 0.00 0.05 6.70 7.35 1.77 1.52 1.90 3.50 3.52 2.30 1.30 1.27 0.30 0.25 0.10 0.62
0.11 0.04 0.04 0.07 0.32 2.75 3.96 3.29 3.64 2.64 2.89 2.32 2.32 0.36 0.07 0.07 0.25
0.05 0.15 0.00 0.05 0.17 1.93 3.07 2.34 2.51 1.88 1.98 1.44 2.17 0.51 0.20 0.07 0.07
0.17 0.71 0.12 0.10 0.27 1.56 3.17 4.69 4.60 2.19 2.27 1.77 1.98 0.85 0.29 0.15 0.17
0.02 0.16 0.09 0.56 0.14 1.21 1.84 2.65 3.09 1.70 1.84 1.33 1.33 0.72 0.42 0.28 0.14
0.00 0.00 0.12 0.39 0.33 0.88 1.06 1.55 3.06 2.76 3.94 2.06 1.76 0.33 0.73 0.52 0.30
0.00 0.07 0.13 0.38 0.31 0.89 1.22 1.64 2.27 2.15 3.22 2.07 1.76 0.87 0.76 0.80 1.02
0.03 0.08 0.06 0.11 0.11 0.50 1.39 1.03 1.53 2.22 2.53 2.14 1.58 1.19 0.61 0.78 1.31
0.02 0.08 0.04 0.16 0.04 0.49 1.14 1.14 1.69 1.63 1.73 1.45 2.22 1.43 0.75 1.29 1.22
0.00 0.05 0.02 0.10 0.03 0.18 0.51 0.67 1.18 0.64 0.56 1.15 1.69 1.89 1.36 0.75 0.80
0.02 0.12 0.02 0.06 0.02 0.10 0.27 0.37 0.98 0.88 0.88 0.78 1.51 2.20 3.65 1.20 1.41
0.02 0.02 0.18 0.09 0.06 0.09 0.31 0.25 0.54 0.68 0.75 0.95 0.77 1.52 1.86 1.62 1.43
0.00 0.02 0.00 0.02 0.04 0.11 0.24 0.04 0.18 0.36 0.47 0.40 0.71 1.27 1.04 1.07 3.80
