age,setting_count
0,99
1,457
2,837
3,939
4,973
5,1268
6,1487
7,1393
8,1395
9,1346
10,1333
11,1540
12,1420
13,1415
14,1699
15,1716
16,1725
17,1825
18,2054
19,1925
20,1814
21,1750
22,1616
23,1441
24,1513
25,1437
26,49
27,57
28,52
29,56
30,78
31,73
32,71
33,74
34,64
35,65
36,83
37,84
38,87
39,76
40,75
41,94
42,84
43,93
44,100
45,96
46,119
47,109
48,91
49,106
50,84
51,72
52,73
53,90
54,81
55,84
56,64
57,75
58,72
59,43
60,49
61,51
62,36
63,50
64,57
65,21
66,22
67,31
68,13
69,14
70,3
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
