age,setting_count
0,0
1,2
2,0
3,5262
4,4798
5,4515
6,6770
7,7198
8,7177
9,7111
10,7217
11,7237
12,7231
13,7541
14,7526
15,7271
16,6815
17,6258
18,5081
19,4320
20,3708
21,3071
22,2216
23,1106
24,901
25,629
26,506
27,446
28,407
29,378
30,309
31,269
32,264
33,245
34,269
35,324
36,350
37,374
38,403
39,367
40,249
41,233
42,238
43,200
44,225
45,228
46,235
47,228
48,173
49,156
50,143
51,118
52,94
53,90
54,75
55,98
56,85
57,80
58,65
59,72
60,2
61,1
62,1
63,3
64,0
65,5
66,0
67,1
68,1
69,1
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
