age,setting_count
0,0
1,0
2,0
3,2304
4,2730
5,11508
6,19288
7,32948
8,36509
9,38595
10,37663
11,37578
12,35580
13,39144
14,37676
15,30727
16,31393
17,28014
18,20554
19,18381
20,9097
21,10117
22,9155
23,9440
24,9694
25,2195
26,2019
27,2122
28,1824
29,1825
30,1550
31,1543
32,1440
33,1420
34,1373
35,1934
36,1718
37,1933
38,1704
39,1803
40,1745
41,1760
42,1494
43,1629
44,1480
45,1453
46,1405
47,1395
48,1209
49,1166
50,998
51,932
52,926
53,880
54,896
55,805
56,858
57,707
58,701
59,634
60,647
61,491
62,583
63,571
64,614
65,507
66,547
67,553
68,508
69,557
70,448
71,300
72,234
73,269
74,185
75,225
76,235
77,263
78,263
79,171
80,170
81,131
82,97
83,64
84,536
