age,setting_count
0,164
1,576
2,1996
3,2857
4,3091
5,2985
6,2992
7,3358
8,2959
9,2728
10,2686
11,2568
12,2739
13,2496
14,2681
15,2877
16,3130
17,2909
18,3163
19,2956
20,3193
21,2946
22,2343
23,1792
24,1501
25,311
26,312
27,294
28,245
29,227
30,198
31,203
32,229
33,185
34,218
35,256
36,238
37,228
38,246
39,233
40,196
41,178
42,191
43,173
44,177
45,174
46,203
47,219
48,204
49,219
50,262
51,225
52,186
53,164
54,208
55,110
56,97
57,110
58,111
59,97
60,89
61,105
62,61
63,89
64,61
65,21
66,27
67,22
68,31
69,55
70,0
71,2
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
