age,setting_count
0,982
1,5051
2,8745
3,9366
4,9504
5,15024
6,14612
7,14569
8,14169
9,14390
10,14664
11,15116
12,14936
13,15458
14,15499
15,16014
16,16293
17,16264
18,10687
19,10710
20,10925
21,11061
22,11022
23,10971
24,10537
25,10677
26,707
27,707
28,697
29,728
30,857
31,832
32,783
33,735
34,818
35,782
36,773
37,803
38,776
39,867
40,858
41,866
42,825
43,786
44,849
45,868
46,1004
47,986
48,1000
49,906
50,952
51,748
52,730
53,814
54,778
55,669
56,633
57,656
58,641
59,539
60,387
61,408
62,369
63,383
64,342
65,147
66,144
67,153
68,132
69,103
70,30
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
