age,setting_count
0,275
1,845
2,927
3,6132
4,6990
5,7231
6,14978
7,15088
8,14474
9,14650
10,14370
11,14798
12,15212
13,15548
14,15513
15,15853
16,15688
17,15381
18,7827
19,4266
20,3398
21,3273
22,3530
23,3469
24,3597
25,344
26,345
27,387
28,413
29,393
30,540
31,539
32,511
33,565
34,554
35,528
36,514
37,523
38,551
39,565
40,502
41,569
42,548
43,535
44,527
45,487
46,534
47,480
48,525
49,432
50,542
51,519
52,556
53,578
54,586
55,557
56,582
57,614
58,622
59,668
60,522
61,526
62,535
63,547
64,560
65,389
66,389
67,368
68,319
69,209
70,129
71,174
72,130
73,155
74,159
75,118
76,88
77,97
78,94
79,97
80,34
81,30
82,39
83,52
84,29
