age,setting_count
0,0
1,0
2,0
3,7059
4,6406
5,5961
6,8972
7,9700
8,9503
9,9319
10,9414
11,9083
12,8743
13,9123
14,8931
15,8794
16,8095
17,7344
18,6164
19,5123
20,4317
21,3505
22,2402
23,1110
24,925
25,642
26,542
27,393
28,378
29,393
30,287
31,253
32,250
33,279
34,271
35,296
36,330
37,348
38,338
39,331
40,242
41,212
42,227
43,218
44,202
45,212
46,200
47,172
48,169
49,161
50,162
51,80
52,75
53,74
54,90
55,88
56,83
57,71
58,77
59,68
60,2
61,3
62,1
63,2
64,0
65,2
66,1
67,1
68,0
69,0
70,0
71,1
72,1
73,2
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
