age,setting_count
0,40048
1,45554
2,45919
3,44728
4,43615
5,107974
6,121795
7,123949
8,122599
9,119952
10,118744
11,118734
12,118884
13,121278
14,124319
15,126398
16,125272
17,118272
18,101192
19,76348
20,56017
21,40270
22,30583
23,23385
24,18416
25,4746
26,4644
27,4479
28,4096
29,3986
30,4396
31,4217
32,3965
33,3965
34,3770
35,3900
36,3885
37,3811
38,3885
39,3660
40,2080
41,2138
42,2011
43,1992
44,2008
45,1818
46,1927
47,1936
48,1885
49,1796
50,1715
51,1616
52,1618
53,1572
54,1521
55,1193
56,1101
57,1095
58,1029
59,1018
60,608
61,500
62,506
63,485
64,437
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
