age,setting_count
0,165
1,570
2,686
3,2973
4,3429
5,3518
6,7540
7,7945
8,7695
9,7540
10,7647
11,7880
12,8245
13,8548
14,8775
15,8941
16,9176
17,8886
18,2763
19,2096
20,1721
21,1777
22,1880
23,1816
24,1843
25,292
26,286
27,299
28,319
29,320
30,315
31,281
32,297
33,283
34,266
35,265
36,244
37,272
38,282
39,271
40,319
41,327
42,322
43,311
44,325
45,293
46,311
47,247
48,266
49,231
50,278
51,287
52,275
53,316
54,286
55,271
56,293
57,286
58,281
59,290
60,236
61,249
62,254
63,251
64,286
65,192
66,217
67,211
68,163
69,104
70,80
71,69
72,75
73,92
74,84
75,50
76,49
77,43
78,41
79,41
80,25
81,19
82,22
83,22
84,14
