age,setting_count
0,0
1,0
2,0
3,3510
4,3046
5,3035
6,5159
7,5652
8,5741
9,5623
10,5687
11,6030
12,5795
13,6119
14,6739
15,6540
16,6787
17,5993
18,5002
19,4137
20,3397
21,2771
22,1836
23,797
24,604
25,487
26,342
27,279
28,267
29,226
30,206
31,154
32,179
33,197
34,194
35,189
36,219
37,227
38,248
39,260
40,135
41,146
42,173
43,169
44,153
45,138
46,145
47,128
48,115
49,100
50,109
51,56
52,52
53,41
54,56
55,51
56,51
57,58
58,60
59,67
60,2
61,2
62,1
63,1
64,4
65,0
66,0
67,1
68,1
69,0
70,1
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
