age,setting_count
0,70
1,230
2,335
3,3346
4,4260
5,4434
6,17466
7,18206
8,18479
9,18376
10,18841
11,19450
12,19785
13,20509
14,20862
15,21688
16,21372
17,21354
18,7087
19,4659
20,3121
21,3051
22,3240
23,3543
24,3659
25,733
26,750
27,737
28,804
29,821
30,479
31,497
32,543
33,499
34,533
35,567
36,528
37,559
38,590
39,657
40,704
41,740
42,705
43,755
44,665
45,616
46,665
47,588
48,678
49,476
50,616
51,509
52,578
53,561
54,534
55,539
56,545
57,542
58,538
59,573
60,468
61,463
62,474
63,503
64,562
65,493
66,488
67,512
68,443
69,256
70,213
71,252
72,258
73,277
74,224
75,123
76,134
77,130
78,124
79,117
80,75
81,62
82,65
83,74
84,71
