age,setting_count
0,0
1,0
2,0
3,2618
4,4247
5,5938
6,6499
7,6376
8,6389
9,6650
10,6751
11,6757
12,6476
13,6408
14,6525
15,7005
16,6695
17,5951
18,4702
19,3975
20,3316
21,3086
22,2237
23,2031
24,1520
25,1536
26,1515
27,1588
28,1623
29,1639
30,1024
31,949
32,980
33,905
34,876
35,754
36,757
37,841
38,850
39,887
40,695
41,663
42,661
43,684
44,705
45,654
46,617
47,667
48,671
49,687
50,577
51,558
52,574
53,596
54,544
55,414
56,398
57,366
58,388
59,349
60,292
61,297
62,297
63,270
64,203
65,104
66,89
67,89
68,86
69,67
70,72
71,72
72,71
73,61
74,50
75,48
76,8
77,7
78,4
79,3
80,5
81,7
82,4
83,4
84,30
