age,setting_count
0,113
1,410
2,1855
3,2618
4,2949
5,3215
6,3212
7,3446
8,3338
9,2975
10,2928
11,2785
12,3051
13,2921
14,2958
15,3005
16,3386
17,3525
18,3851
19,3338
20,3277
21,2802
22,2447
23,1964
24,1626
25,348
26,314
27,329
28,254
29,271
30,216
31,267
32,239
33,222
34,212
35,278
36,281
37,287
38,269
39,238
40,249
41,242
42,229
43,216
44,224
45,219
46,226
47,260
48,222
49,259
50,313
51,231
52,232
53,237
54,222
55,144
56,128
57,111
58,130
59,115
60,109
61,107
62,67
63,75
64,60
65,25
66,21
67,16
68,51
69,53
70,1
71,4
72,2
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
