age,setting_count
0,77
1,1009
2,2996
3,3503
4,3493
5,3548
6,3416
7,3584
8,3246
9,3034
10,2941
11,2867
12,3021
13,2903
14,3088
15,3157
16,3366
17,3060
18,3115
19,2932
20,2921
21,2635
22,2543
23,2152
24,1753
25,369
26,352
27,372
28,376
29,306
30,292
31,301
32,285
33,256
34,273
35,358
36,336
37,349
38,304
39,302
40,294
41,265
42,286
43,296
44,263
45,243
46,264
47,296
48,320
49,342
50,359
51,280
52,303
53,276
54,268
55,155
56,152
57,143
58,176
59,165
60,128
61,139
62,91
63,103
64,64
65,35
66,27
67,31
68,42
69,60
70,0
71,2
72,2
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
