age,setting_count
0,0
1,0
2,0
3,2123
4,3245
5,6426
6,7176
7,6646
8,6700
9,6959
10,7351
11,7262
12,7238
13,6730
14,6437
15,6772
16,6909
17,7081
18,5245
19,3877
20,3983
21,3475
22,2297
23,2060
24,1592
25,1689
26,1636
27,1569
28,1571
29,1665
30,978
31,959
32,911
33,943
34,943
35,771
36,776
37,809
38,872
39,871
40,691
41,637
42,613
43,623
44,609
45,604
46,609
47,673
48,712
49,694
50,607
51,533
52,569
53,609
54,619
55,382
56,361
57,358
58,386
59,365
60,273
61,278
62,289
63,283
64,195
65,112
66,85
67,87
68,75
69,77
70,73
71,59
72,67
73,74
74,55
75,73
76,13
77,11
78,9
79,9
80,9
81,10
82,10
83,10
84,45
