age,setting_count
0,233
1,498
2,1502
3,2560
4,3199
5,3249
6,3088
7,3172
8,2995
9,2982
10,3197
11,2980
12,2851
13,2708
14,2927
15,3129
16,2991
17,3315
18,4070
19,5011
20,6235
21,5211
22,4045
23,2709
24,2099
25,374
26,336
27,288
28,261
29,247
30,221
31,177
32,187
33,183
34,197
35,223
36,212
37,241
38,179
39,191
40,200
41,170
42,193
43,177
44,181
45,167
46,190
47,169
48,191
49,228
50,281
51,162
52,177
53,175
54,176
55,99
56,116
57,89
58,97
59,111
60,169
61,116
62,129
63,136
64,110
65,43
66,34
67,27
68,41
69,52
70,6
71,1
72,3
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
