age,setting_count
0,0
1,0
2,0
3,6110
4,5341
5,27489
6,32339
7,53183
8,53691
9,57599
10,55167
11,59752
12,57295
13,58923
14,51909
15,47840
16,45168
17,42336
18,36249
19,30938
20,19296
21,19480
22,17290
23,18239
24,18193
25,5246
26,4691
27,4860
28,4425
29,4239
30,2978
31,2778
32,2647
33,2682
34,2535
35,2576
36,2256
37,2313
38,2479
39,2249
40,2249
41,1888
42,2062
43,1958
44,1722
45,1646
46,1831
47,1862
48,1631
49,1573
50,1548
51,1389
52,1300
53,1306
54,1235
55,1212
56,1123
57,1059
58,931
59,872
60,694
61,534
62,583
63,570
64,572
65,536
66,453
67,411
68,460
69,380
70,237
71,228
72,127
73,139
74,111
75,117
76,156
77,93
78,104
79,87
80,89
81,15
82,34
83,34
84,67
