age,setting_count
0,0
1,0
2,0
3,2894
4,4505
5,5686
6,6302
7,6305
8,6067
9,6347
10,6558
11,6425
12,6527
13,6432
14,6421
15,6969
16,6913
17,6340
18,5224
19,4451
20,4068
21,3706
22,2765
23,2398
24,1900
25,1582
26,1563
27,1550
28,1471
29,1518
30,1014
31,958
32,913
33,886
34,866
35,668
36,663
37,674
38,722
39,807
40,685
41,623
42,633
43,556
44,588
45,573
46,589
47,595
48,580
49,644
50,571
51,570
52,555
53,535
54,559
55,418
56,425
57,386
58,341
59,338
60,332
61,282
62,359
63,279
64,226
65,92
66,111
67,83
68,95
69,93
70,84
71,74
72,70
73,78
74,68
75,60
76,5
77,6
78,8
79,2
80,3
81,10
82,4
83,7
84,17
