age,setting_count
0,0
1,0
2,0
3,1911
4,1813
5,10697
6,16267
7,27512
8,29207
9,31046
10,27802
11,26649
12,22931
13,24123
14,21870
15,17342
16,18946
17,17851
18,11117
19,11360
20,5942
21,6833
22,6337
23,6060
24,6549
25,1991
26,2053
27,1686
28,1654
29,1725
30,1264
31,1253
32,1196
33,1187
34,1208
35,1077
36,904
37,1018
38,795
39,834
40,734
41,651
42,609
43,605
44,574
45,411
46,424
47,506
48,407
49,562
50,322
51,329
52,298
53,236
54,297
55,275
56,220
57,194
58,189
59,199
60,153
61,162
62,129
63,158
64,134
65,69
66,91
67,103
68,145
69,93
70,55
71,83
72,38
73,59
74,46
75,20
76,24
77,9
78,14
79,20
80,26
81,32
82,23
83,13
84,54
