age,setting_count
0,0
1,0
2,0
3,1687
4,1530
5,9341
6,15704
7,35440
8,38411
9,41303
10,40801
11,40116
12,36772
13,35403
14,31917
15,31540
16,27800
17,25632
18,18574
19,16194
20,8340
21,8502
22,8904
23,7919
24,8535
25,1962
26,1844
27,1773
28,1627
29,1550
30,1120
31,1027
32,1202
33,1138
34,1169
35,1182
36,1018
37,1163
38,1129
39,1074
40,1038
41,957
42,1092
43,968
44,900
45,728
46,707
47,789
48,825
49,850
50,690
51,710
52,730
53,797
54,588
55,585
56,487
57,566
58,510
59,512
60,303
61,339
62,322
63,336
64,292
65,244
66,248
67,264
68,231
69,187
70,159
71,134
72,109
73,129
74,113
75,89
76,104
77,122
78,75
79,67
80,67
81,35
82,20
83,30
84,105
