age,setting_count
0,50
1,284
2,349
3,395
4,447
5,673
6,689
7,644
8,592
9,555
10,600
11,527
12,506
13,565
14,599
15,574
16,610
17,578
18,0
19,0
20,0
21,0
22,23
23,22
24,20
25,27
26,30
27,27
28,41
29,30
30,40
31,36
32,34
33,30
34,37
35,51
36,24
37,25
38,35
39,42
40,43
41,39
42,31
43,33
44,45
45,35
46,38
47,41
48,49
49,39
50,43
51,35
52,42
53,27
54,29
55,24
56,34
57,28
58,22
59,15
60,23
61,22
62,14
63,22
64,10
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
