age,setting_count
0,0
1,0
2,1
3,2294
4,1978
5,1825
6,2585
7,2804
8,2640
9,2459
10,2366
11,2289
12,2186
13,2622
14,2879
15,3324
16,3287
17,3375
18,3149
19,2951
20,2978
21,2751
22,2052
23,969
24,697
25,410
26,366
27,252
28,231
29,208
30,203
31,187
32,151
33,175
34,167
35,139
36,141
37,142
38,125
39,127
40,97
41,108
42,114
43,109
44,103
45,104
46,115
47,98
48,105
49,82
50,97
51,50
52,46
53,44
54,47
55,29
56,22
57,29
58,26
59,27
60,2
61,0
62,2
63,1
64,2
65,0
66,1
67,0
68,1
69,0
70,0
71,0
72,0
73,0
74,2
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
