age,setting_count
0,0
1,0
2,0
3,2383
4,3735
5,5354
6,5767
7,5516
8,5522
9,5778
10,5978
11,6121
12,6164
13,5947
14,5688
15,5940
16,6049
17,5968
18,4817
19,3963
20,3835
21,3440
22,2289
23,2025
24,1479
25,1346
26,1307
27,1387
28,1318
29,1297
30,823
31,731
32,790
33,718
34,789
35,581
36,548
37,602
38,614
39,619
40,553
41,521
42,484
43,489
44,512
45,476
46,488
47,523
48,474
49,451
50,438
51,404
52,415
53,396
54,360
55,265
56,281
57,303
58,252
59,260
60,212
61,216
62,220
63,205
64,176
65,68
66,61
67,61
68,65
69,61
70,53
71,36
72,54
73,51
74,38
75,34
76,17
77,9
78,15
79,9
80,11
81,7
82,7
83,5
84,32
