age,setting_count
0,0
1,0
2,0
3,2106
4,3476
5,5812
6,6361
7,6326
8,6334
9,6475
10,6879
11,6649
12,6701
13,6503
14,6264
15,6420
16,6531
17,6208
18,4631
19,3734
20,3034
21,2796
22,1926
23,1634
24,1325
25,1237
26,1234
27,1255
28,1281
29,1391
30,823
31,838
32,792
33,801
34,691
35,595
36,576
37,632
38,599
39,653
40,544
41,491
42,463
43,516
44,526
45,549
46,538
47,499
48,504
49,516
50,419
51,439
52,425
53,416
54,403
55,326
56,302
57,299
58,301
59,256
60,212
61,190
62,193
63,227
64,180
65,78
66,75
67,73
68,69
69,61
70,60
71,59
72,45
73,48
74,47
75,39
76,7
77,10
78,10
79,2
80,7
81,2
82,6
83,10
84,24
