age,setting_count
0,0
1,0
2,0
3,2379
4,2104
5,2164
6,3415
7,3765
8,3821
9,4068
10,4183
11,4161
12,4123
13,4490
14,4866
15,4841
16,4831
17,4446
18,3896
19,3346
20,3039
21,2533
22,1705
23,834
24,567
25,475
26,335
27,259
28,259
29,240
30,174
31,181
32,197
33,185
34,168
35,195
36,179
37,244
38,229
39,202
40,141
41,143
42,143
43,166
44,132
45,130
46,128
47,119
48,111
49,125
50,116
51,60
52,44
53,51
54,54
55,58
56,47
57,48
58,42
59,48
60,1
61,1
62,1
63,1
64,0
65,1
66,3
67,1
68,0
69,1
70,2
71,0
72,1
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
