age,setting_count
0,0
1,0
2,0
3,2448
4,3999
5,6217
6,6910
7,6678
8,6245
9,6313
10,6729
11,6388
12,6886
13,6539
14,6286
15,6590
16,6669
17,6336
18,5457
19,3892
20,3517
21,3250
22,2406
23,2075
24,1616
25,1431
26,1428
27,1484
28,1547
29,1541
30,955
31,904
32,901
33,860
34,814
35,648
36,652
37,632
38,685
39,764
40,594
41,553
42,575
43,611
44,602
45,521
46,537
47,565
48,592
49,612
50,534
51,548
52,549
53,473
54,496
55,414
56,352
57,333
58,337
59,340
60,289
61,246
62,253
63,248
64,169
65,70
66,82
67,92
68,66
69,63
70,66
71,64
72,61
73,55
74,48
75,46
76,4
77,10
78,6
79,8
80,5
81,5
82,6
83,2
84,31
