age,setting_count
0,199
1,610
2,773
3,2551
4,2914
5,3040
6,6806
7,7152
8,7353
9,7315
10,7508
11,7772
12,7915
13,8342
14,8625
15,9364
16,9329
17,9465
18,4465
19,2021
20,1773
21,1618
22,1637
23,1693
24,1735
25,288
26,305
27,311
28,346
29,373
30,253
31,254
32,272
33,258
34,269
35,255
36,287
37,305
38,281
39,279
40,329
41,295
42,282
43,329
44,297
45,292
46,302
47,292
48,296
49,277
50,312
51,260
52,356
53,312
54,352
55,325
56,325
57,319
58,309
59,342
60,301
61,301
62,341
63,317
64,349
65,250
66,271
67,229
68,225
69,135
70,81
71,81
72,84
73,98
74,119
75,65
76,35
77,62
78,72
79,47
80,20
81,23
82,25
83,25
84,23
