age,setting_count
0,0
1,0
2,0
3,2574
4,4061
5,5937
6,6440
7,6305
8,6437
9,6664
10,6783
11,6563
12,6653
13,6210
14,6143
15,6381
16,6451
17,6081
18,4803
19,4058
20,3401
21,3111
22,2118
23,1800
24,1345
25,1229
26,1193
27,1280
28,1273
29,1274
30,769
31,740
32,761
33,705
34,735
35,632
36,642
37,651
38,654
39,713
40,537
41,546
42,516
43,509
44,500
45,525
46,514
47,479
48,514
49,539
50,446
51,425
52,484
53,424
54,431
55,327
56,303
57,273
58,257
59,279
60,219
61,227
62,253
63,255
64,199
65,88
66,72
67,65
68,64
69,71
70,57
71,49
72,54
73,43
74,30
75,36
76,9
77,7
78,7
79,10
80,5
81,7
82,7
83,7
84,25
