age,setting_count
0,0
1,0
2,0
3,2546
4,2573
5,15478
6,28490
7,56000
8,63948
9,66040
10,66280
11,61815
12,56515
13,48494
14,47289
15,37317
16,37316
17,29397
18,23924
19,21033
20,12000
21,10835
22,11038
23,10324
24,11042
25,2739
26,2939
27,2955
28,2820
29,2575
30,1610
31,1801
32,1520
33,1596
34,1518
35,1028
36,1297
37,1158
38,1180
39,984
40,1079
41,1001
42,926
43,868
44,820
45,861
46,826
47,728
48,634
49,658
50,600
51,671
52,639
53,779
54,628
55,600
56,654
57,606
58,581
59,557
60,454
61,428
62,495
63,366
64,373
65,325
66,384
67,388
68,307
69,248
70,189
71,159
72,139
73,90
74,129
75,122
76,103
77,124
78,100
79,76
80,60
81,53
82,51
83,25
84,115
