age,setting_count
0,0
1,0
2,0
3,1375
4,1138
5,10969
6,21507
7,36546
8,38916
9,40799
10,40329
11,40158
12,39859
13,35701
14,33190
15,26454
16,21161
17,17050
18,12504
19,12320
20,5125
21,5023
22,5380
23,5037
24,5994
25,1563
26,1514
27,1342
28,1221
29,1239
30,882
31,866
32,895
33,910
34,913
35,754
36,906
37,852
38,839
39,835
40,784
41,722
42,762
43,738
44,664
45,684
46,577
47,596
48,496
49,550
50,460
51,546
52,493
53,456
54,455
55,427
56,426
57,410
58,410
59,429
60,298
61,230
62,267
63,256
64,233
65,213
66,250
67,189
68,196
69,174
70,129
71,90
72,73
73,78
74,57
75,48
76,88
77,68
78,39
79,44
80,25
81,17
82,10
83,18
84,37
