age,setting_count
0,0
1,0
2,0
3,1967
4,3083
5,6222
6,6542
7,6157
8,5905
9,5626
10,6606
11,6292
12,6316
13,5938
14,5181
15,5607
16,6088
17,5916
18,4715
19,3541
20,3127
21,2813
22,2170
23,1844
24,1468
25,1283
26,1369
27,1410
28,1312
29,1349
30,861
31,806
32,787
33,773
34,733
35,739
36,634
37,676
38,715
39,807
40,642
41,605
42,603
43,560
44,646
45,522
46,572
47,587
48,578
49,576
50,579
51,599
52,601
53,554
54,667
55,438
56,392
57,378
58,371
59,316
60,287
61,286
62,278
63,289
64,190
65,85
66,108
67,80
68,83
69,59
70,66
71,61
72,59
73,69
74,61
75,33
76,2
77,7
78,10
79,7
80,9
81,8
82,3
83,5
84,29
