age,setting_count
0,185
1,397
2,1958
3,2847
4,3034
5,3315
6,3138
7,3410
8,3206
9,2986
10,2929
11,2814
12,3000
13,2879
14,2936
15,3069
16,3062
17,2460
18,2490
19,2545
20,2570
21,2368
22,1894
23,1644
24,1374
25,303
26,318
27,310
28,333
29,309
30,254
31,241
32,296
33,234
34,271
35,297
36,323
37,301
38,279
39,240
40,206
41,220
42,174
43,194
44,168
45,181
46,221
47,233
48,220
49,213
50,290
51,205
52,207
53,215
54,213
55,133
56,136
57,113
58,117
59,109
60,112
61,95
62,74
63,87
64,43
65,30
66,19
67,22
68,26
69,34
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
