age,setting_count
0,0
1,0
2,0
3,2243
4,2280
5,13883
6,20472
7,32136
8,34665
9,33605
10,34007
11,35655
12,35056
13,33088
14,32758
15,28608
16,28561
17,25003
18,19830
19,19304
20,10796
21,11943
22,11676
23,11103
24,11672
25,3054
26,3007
27,2873
28,2956
29,2405
30,1735
31,1522
32,1741
33,1513
34,1836
35,1376
36,1431
37,1392
38,1450
39,1297
40,1262
41,1224
42,1349
43,1080
44,999
45,986
46,992
47,981
48,1012
49,978
50,951
51,856
52,759
53,749
54,677
55,718
56,711
57,651
58,625
59,702
60,452
61,462
62,418
63,347
64,399
65,283
66,283
67,300
68,222
69,244
70,171
71,168
72,120
73,109
74,103
75,88
76,73
77,63
78,71
79,62
80,52
81,23
82,33
83,19
84,71
