R0,beta,attack_rate
0.8,0.307692307692,4.99941612377e-05
0.81,0.311538461538,5.26247354132e-05
0.82,0.315384615385,5.55474687829e-05
0.83,0.319230769231,5.88138862213e-05
0.84,0.323076923077,6.24883825716e-05
0.85,0.326923076923,6.66525075062e-05
0.86,0.330769230769,7.14110835027e-05
0.87,0.334615384615,7.69011408e-05
0.88,0.338461538462,8.33053042133e-05
0.89,0.342307692308,9.08724404577e-05
0.9,0.346153846154,9.99505713055e-05
0.91,0.35,0.000111041334792
0.92,0.353846153846,0.00012489395129
0.93,0.357692307692,0.000142674981249
0.94,0.361538461538,0.000166290454314
0.95,0.365384615385,0.000199028809744
0.96,0.369230769231,0.000246909287711
0.97,0.373076923077,0.000321642445441
0.98,0.376923076923,0.000447391724273
0.99,0.380769230769,0.000676688449851
1.0,0.384615384615,0.001128518042
1.01,0.388461538462,0.00207897858887
1.02,0.392307692308,0.00416709337006
1.03,0.396153846154,0.00879884126813
1.04,0.4,0.0186422920375
1.05,0.403846153846,0.0371766172599
1.06,0.407692307692,0.0653590707064
1.07,0.411538461538,0.0980864155105
1.08,0.415384615385,0.128236738972
1.09,0.419230769231,0.153012832922
1.1,0.423076923077,0.173372693252
1.11,0.426923076923,0.191008315893
1.12,0.430769230769,0.207104535521
1.13,0.434615384615,0.22230488582
1.14,0.438461538462,0.236924408725
1.15,0.442307692308,0.251111481067
1.16,0.446153846154,0.264936444145
1.17,0.45,0.278434580183
1.18,0.453846153846,0.291625746116
1.19,0.457692307692,0.304523041416
1.2,0.461538461538,0.317136552754
1.21,0.465384615385,0.32947494975
1.22,0.469230769231,0.341546160532
1.23,0.473076923077,0.353357658653
1.24,0.476923076923,0.36491658744
1.25,0.480769230769,0.376229816769
1.26,0.484615384615,0.387303971778
1.27,0.488461538462,0.398145449875
1.28,0.492307692308,0.40876043273
1.29,0.496153846154,0.419154896017
1.3,0.5,0.429334618031
1.31,0.503846153846,0.439305187651
1.32,0.507692307692,0.449072011832
1.33,0.511538461538,0.458640322733
1.34,0.515384615385,0.468015184504
1.35,0.519230769231,0.477201499772
1.36,0.523076923077,0.48620401584
1.37,0.526923076923,0.495027330608
1.38,0.530769230769,0.503675898239
1.39,0.534615384615,0.512154034571
1.4,0.538461538462,0.520465922302
1.41,0.542307692308,0.528615615937
1.42,0.546153846154,0.536607046536
1.43,0.55,0.544444026247
1.44,0.553846153846,0.552130252648
1.45,0.557692307692,0.559669312908
1.46,0.561538461538,0.567064687765
1.47,0.565384615385,0.574319755342
1.48,0.569230769231,0.5814377948
1.49,0.573076923077,0.588421989843
1.5,0.576923076923,0.595275432069
1.51,0.580769230769,0.602001124198
1.52,0.584615384615,0.60860198315
1.53,0.588461538462,0.615080843014
1.54,0.592307692308,0.621440457885
1.55,0.596153846154,0.627683504595
1.56,0.6,0.633812585328
1.57,0.603846153846,0.63983023014
1.58,0.607692307692,0.645738899369
1.59,0.611538461538,0.651540985959
1.6,0.615384615385,0.657238817689
1.61,0.619230769231,0.662834659316
1.62,0.623076923077,0.668330714637
1.63,0.626923076923,0.673729128468
