country,location,NhN,NsN,NwN
Argentina,Chaco,0.969491474,0.352795284,0.806340983
Argentina,Mendoza,0.97066972,0.282331103,0.604982234
Argentina,Salta,0.972894461,0.348028188,0.544408739
Argentina,SantaCruz,0.959271785,0.35168947,0.694949578
Argentina,Jujuy,0.971746073,0.354776061,0.707357307
Argentina,SantaFe,0.95277681,0.295832648,0.63114807
Argentina,Cordoba,0.955188824,0.286066581,0.726474083
Argentina,Corrientes,0.969169336,0.340850432,0.552108427
Argentina,SanLuis,0.957008224,0.33072735,0.602301751
Argentina,Catamarca,0.970593071,0.35110687,0.751991464
Argentina,Chubut,0.956571945,0.298849191,0.61498263
Argentina,LaPampa,0.94303746,0.280028576,0.867033235
Argentina,Formosa,0.969576188,0.342714777,0.553929029
Argentina,EntreRios,0.959806488,0.277509747,0.626137467
Argentina,Tucuman,0.976104571,0.317612856,0.494342619
Argentina,Neuquen,0.963386694,0.381058438,0.634063014
Argentina,Misiones,0.969573133,0.331295489,0.568783537
Argentina,Buenos_Aires,0.950352297,0.304744171,0.763073941
Argentina,SanJuan,0.977217962,0.303151163,0.563668059
Argentina,Santiago,0.975478853,0.317630055,0.527280453
Argentina,RioNegro,0.957375779,0.337708127,0.629488196
Argentina,LaRioja,0.971903262,0.365624138,0.629668878
Australia,Australia,0.904375977964,0.253880934291,0.404080502759
Australia,Australian_Capital_Territory,0.906507089008,0.282750414942,0.465564820925
Australia,New_South_Wales,0.906349331949,0.256561336604,0.391090207643
Australia,Northern_Territory,0.918798072256,0.249687226953,0.448207897451
Australia,Queensland,0.910293234764,0.249553653761,0.405145047813
Australia,South_Australia,0.883270436041,0.249020977851,0.388889353762
Australia,Tasmania,0.880105909049,0.239339052251,0.361399659089
Australia,Victoria,0.904399974282,0.260651179827,0.398226605592
Australia,Western_Australia,0.907078012272,0.251599492851,0.427628687136
Brazil,Espirito_Santo,0.976700852,0.320848942,0.399232365
Brazil,Maranhao,0.987150242,0.369710749,0.333361546
Brazil,Rondonia,0.980596574,0.318964073,0.377500669
Brazil,Mato_Grosso_do_Sul,0.973626593,0.317118181,0.383058052
Brazil,Mato_Grosso,0.97649498,0.33448089,0.379183927
Brazil,Acre,0.982038491,0.345308882,0.323869313
Brazil,Paraiba,0.980750459,0.342251142,0.33838623
Brazil,Distrito_Federal,0.974725905,0.381904589,0.381599916
Brazil,Parana,0.975585645,0.315719044,0.396618138
Brazil,Para,0.987365762,0.360477246,0.325492265
Brazil,Rio_Grande_do_Sul,0.965866907,0.293861784,0.418954495
Brazil,Tocantins,0.978394119,0.364124522,0.346685771
Brazil,Rio_Grande_do_Norte,0.98329811,0.357875027,0.31576897
Brazil,Rio_de_Janeiro,0.964662584,0.309228609,0.364047326
Brazil,Pernambuco,0.979449018,0.335567902,0.322489148
Brazil,Bahia,0.976086412,0.361620332,0.337520084
Brazil,Alagoas,0.983221918,0.34384496,0.307924899
Brazil,Minas_Gerais,0.974196315,0.317534797,0.376273896
Brazil,Santa_Catarina,0.977996031,0.326145944,0.418703035
Brazil,Sergipe,0.977800046,0.366652481,0.331386881
Brazil,Ceara,0.984243042,0.372218794,0.339705577
Brazil,Roraima,0.978641719,0.406412528,0.344796283
Brazil,Amazonas,0.987808138,0.339626997,0.29738383
Brazil,Goias,0.971675002,0.329856972,0.385555491
Brazil,Amapa,0.98602691,0.4154371,0.284205182
Brazil,Piaui,0.985032633,0.372231085,0.34861556
Brazil,Sao_Paulo,0.973618536,0.313779925,0.378824151
Canada,Alberta,0.903899320775,0.299101114396,0.494513820037
Canada,British_Columbia,0.884489098329,0.248350290768,0.42978635623
Canada,Manitoba,0.888143823834,0.284823189313,0.456907127386
Canada,New_Brunswick,0.888862891905,0.22057383204,0.432034965339
Canada,Newfoundland_and_Labrador,0.908661258966,0.240726135597,0.397077554626
Canada,Nova_Scotia,0.879998808757,0.244436453802,0.429669231516
Canada,Ontario,0.902682111923,0.291594744338,0.439263796794
Canada,Prince_Edward_Island,0.896511500747,0.282280465133,0.440659060256
Canada,Quebec,0.858407825002,0.221056926936,0.437792750576
Canada,Saskatchewan,0.886440013303,0.262108779715,0.46812010742
Canada,Northwest_Territories,0.915148703423,0.247253015578,0.413122039361
Canada,Nunavut,0.950071326676,0.347218259629,0.289681407513
Canada,Yukon,0.870707673933,0.318512988952,0.475156763213
China,Anhui,0.94661302079,0.180414702885,0.48433384487
China,Beijing,0.899219253927,0.12823199777,0.444730218353
China,China,0.952815509759,0.18169508328,0.490985904397
China,Chongqing,0.917742727534,0.178951289862,0.456133782134
China,Fujian,0.938644574979,0.182380548222,0.481738797884
China,Gansu,0.970577638484,0.21093405218,0.484341787885
