country,location,artotal
Australia,Australia,0.305791
Australia,Australian_Capital_Territory,0.307595
Australia,New_South_Wales,0.304394
Australia,Northern_Territory,0.326934
Australia,Queensland,0.309946
Australia,South_Australia,0.29930999999999996
Australia,Tasmania,0.303591
Australia,Victoria,0.30385300000000004
Australia,Western_Australia,0.310716
Canada,Alberta,0.314109
Canada,British_Columbia,0.29426599999999997
Canada,Manitoba,0.311677
Canada,New_Brunswick,0.293557
Canada,Newfoundland_and_Labrador,0.288578
Canada,Nova_Scotia,0.29031599999999996
Canada,Ontario,0.304775
Canada,Prince_Edward_Island,0.29851500000000003
Canada,Quebec,0.29587800000000003
Canada,Saskatchewan,0.309847
Canada,Northwest_Territories,0.336828
Canada,Nunavut,0.373629
Canada,Yukon,0.31261700000000003
China,Anhui,0.32412199999999997
China,Beijing,0.29884099999999997
China,China,0.323228
China,Chongqing,0.32033
China,Fujian,0.32348299999999997
China,Gansu,0.338687
China,Guangdong,0.336382
China,Guangxi,0.336961
China,Guizhou,0.348691
China,Hainan,0.33966199999999996
China,Hebei,0.319878
China,Heilongjiang,0.312661
China,Henan,0.334542
China,Hubei,0.318283
China,Hunan,0.323903
China,Inner_Mongolia,0.319206
China,Jiangsu,0.30990999999999996
China,Jiangxi,0.341844
China,Jilin,0.311146
China,Liaoning,0.305487
China,Ningxia,0.343317
China,Qinghai,0.34820500000000004
China,Shaanxi,0.324529
China,Shandong,0.313718
China,Shanghai,0.294037
China,Shanxi,0.332313
China,Sichuan,0.325117
China,Tianjin,0.303137
China,Tibet,0.36185500000000004
China,Xinjiang,0.339037
China,Yunnan,0.34470100000000004
China,Zhejiang,0.311475
Europe,Greece,0.269475
Europe,Norway,0.291765
Europe,Romania,0.28518899999999997
Europe,Slovakia,0.29889499999999997
Europe,Spain,0.28134000000000003
Europe,Portugal,0.280366
Europe,Ireland,0.310775
Europe,France,0.285965
Europe,Slovenia,0.273544
Europe,Netherlands,0.286425
Europe,Finland,0.277045
Europe,Austria,0.27731999999999996
Europe,United-Kingdom,0.284046
Europe,Italy,0.265924
Europe,Germany,0.26466
Europe,Lithuania,0.283314
Europe,Denmark,0.283619
Europe,Latvia,0.276677
Europe,Estonia,0.27623600000000004
Europe,Hungary,0.281882
Europe,Luxembourg,0.29501
Europe,Bulgaria,0.267312
Europe,Czech,0.279517
Europe,Switzerland,0.277344
Europe,Sweden,0.278121
Europe,Cyprus,0.30458
India,Uttar_Pradesh,0.420526
India,Rajasthan,0.413178
India,Haryana,0.404439
India,Puducherry,0.381739
India,West_Bengal,0.394115
India,Andhra_Pradesh,0.393399
India,Arunachal_Pradesh,0.42490100000000003
India,Sikkim,0.40318899999999996
India,Assam,0.40555
India,Uttarakhand,0.40607
India,Tamil_Nadu,0.380894
India,Mizoram,0.403744
India,Himachal_Pradesh,0.38955100000000004
India,Meghalaya,0.421404
India,Gujarat,0.39761799999999997
India,Odisha,0.39755
India,Maharashtra,0.390223
India,Nct_of_Delhi,0.394988
India,Chhattisgarh,0.40907
India,Manipur,0.40255
India,Bihar,0.420871
India,Tripura,0.392422
India,Jammu_and_Kashmir,0.403922
India,Punjab,0.390744
India,Goa,0.37404699999999996
India,Madhya_Pradesh,0.408377
India,Jharkhand,0.41355299999999995
India,Andaman_and_Nicobar_Islands,0.384497
India,Karnataka,0.390706
India,Daman_and_Diu,0.379945
India,Nagaland,0.4192
India,Kerala,0.377209
Israel,Israel,0.36562100000000003
Japan,Aichi-ken,0.259683
Japan,Akita-ken,0.237369
Japan,Aomori-ken,0.2465
Japan,Chiba-ken,0.252763
Japan,Ehime-ken,0.247379
Japan,Fukui-ken,0.253857
Japan,Fukuoka-ken,0.255443
Japan,Fukushima-ken,0.248903
Japan,Gifu-ken,0.254884
Japan,Gumma-ken,0.254294
Japan,Hiroshima-ken,0.253814
Japan,Hokkaido,0.24549899999999997
Japan,Hyogo-ken,0.253879
Japan,Ibaraki-ken,0.253313
Japan,Ishikawa-ken,0.254394
Japan,Iwate-ken,0.24635
Japan,Kagawa-ken,0.24996500000000002
Japan,Kagoshima-ken,0.251306
Japan,Kanagawa-ken,0.255159
Japan,Kochi-ken,0.24290100000000003
Japan,Kumamoto-ken,0.25287600000000005
Japan,Kyoto-fu,0.25029
Japan,Mie-ken,0.253371
Japan,Miyagi-ken,0.25219400000000003
Japan,Miyazaki-ken,0.253144
Japan,Nagano-ken,0.251052
Japan,Nagasaki-ken,0.251328
Japan,Nara-ken,0.251634
Japan,Niigata-ken,0.247112
Japan,Oita-ken,0.24882800000000002
Japan,Okayama-ken,0.25237800000000005
Japan,Okinawa-ken,0.277321
Japan,Osaka-fu,0.253394
Japan,Saga-ken,0.257999
Japan,Saitama-ken,0.255102
Japan,Shiga-ken,0.26248699999999997
Japan,Shimane-ken,0.24527800000000002
Japan,Shizuoka-ken,0.252626
Japan,Tochigi-ken,0.25417199999999995
Japan,Tokushima-ken,0.245337
