country,location,artotal
Australia,Australia,0.48747799999999997
Australia,Australian_Capital_Territory,0.494021
Australia,New_South_Wales,0.48458
Australia,Northern_Territory,0.5088560000000001
Australia,Queensland,0.48993000000000003
Australia,South_Australia,0.48112299999999997
Australia,Tasmania,0.48129099999999997
Australia,Victoria,0.486492
Australia,Western_Australia,0.49189499999999997
Canada,Alberta,0.493068
Canada,British_Columbia,0.47425900000000004
Canada,Manitoba,0.48549799999999993
Canada,New_Brunswick,0.47340600000000005
Canada,Newfoundland_and_Labrador,0.47035
Canada,Nova_Scotia,0.47006000000000003
Canada,Ontario,0.482203
Canada,Prince_Edward_Island,0.47483000000000003
Canada,Quebec,0.475307
Canada,Saskatchewan,0.48384099999999997
Canada,Northwest_Territories,0.51095
Canada,Nunavut,0.5293479999999999
Canada,Yukon,0.496141
China,Anhui,0.527551
China,Beijing,0.5224270000000001
China,China,0.528997
China,Chongqing,0.524758
China,Fujian,0.530892
China,Gansu,0.537884
China,Guangdong,0.5386350000000001
China,Guangxi,0.531507
China,Guizhou,0.538749
China,Hainan,0.535507
China,Hebei,0.526141
China,Heilongjiang,0.528971
China,Henan,0.5317970000000001
China,Hubei,0.527551
China,Hunan,0.52718
China,Inner_Mongolia,0.531712
China,Jiangsu,0.521964
China,Jiangxi,0.535879
China,Jilin,0.527543
China,Liaoning,0.522515
China,Ningxia,0.540501
China,Qinghai,0.5434720000000001
China,Shaanxi,0.531468
China,Shandong,0.52368
China,Shanghai,0.517401
China,Shanxi,0.535446
China,Sichuan,0.527989
China,Tianjin,0.523216
China,Tibet,0.5483560000000001
China,Xinjiang,0.538145
China,Yunnan,0.539782
China,Zhejiang,0.525642
Europe,Greece,0.471425
Europe,Norway,0.485471
Europe,Romania,0.488458
Europe,Slovakia,0.49757299999999993
Europe,Spain,0.481997
Europe,Portugal,0.48238400000000003
Europe,Ireland,0.5056470000000001
Europe,France,0.480609
Europe,Slovenia,0.47824300000000003
Europe,Netherlands,0.48523599999999995
Europe,Finland,0.476105
Europe,Austria,0.4787
Europe,United-Kingdom,0.481347
Europe,Italy,0.46658
Europe,Germany,0.467214
Europe,Lithuania,0.483795
Europe,Denmark,0.47966899999999996
Europe,Latvia,0.480238
Europe,Estonia,0.47734799999999994
Europe,Hungary,0.48321000000000003
Europe,Luxembourg,0.49234700000000003
Europe,Bulgaria,0.471361
Europe,Czech,0.48056099999999996
Europe,Switzerland,0.47803999999999996
Europe,Sweden,0.473484
Europe,Cyprus,0.50003
India,Uttar_Pradesh,0.543007
India,Rajasthan,0.539237
India,Haryana,0.538658
India,Puducherry,0.532615
India,West_Bengal,0.536895
India,Andhra_Pradesh,0.538197
India,Arunachal_Pradesh,0.545801
India,Sikkim,0.543957
India,Assam,0.537231
India,Uttarakhand,0.539335
India,Tamil_Nadu,0.533018
India,Mizoram,0.535533
India,Himachal_Pradesh,0.53494
India,Meghalaya,0.5383100000000001
India,Gujarat,0.537303
India,Odisha,0.536672
India,Maharashtra,0.535245
India,Nct_of_Delhi,0.538026
India,Chhattisgarh,0.5402319999999999
India,Manipur,0.539367
India,Bihar,0.538375
India,Tripura,0.535222
India,Jammu_and_Kashmir,0.5348310000000001
India,Punjab,0.536255
India,Goa,0.530061
India,Madhya_Pradesh,0.538313
India,Jharkhand,0.538958
India,Andaman_and_Nicobar_Islands,0.5359229999999999
India,Karnataka,0.5354770000000001
India,Daman_and_Diu,0.535641
India,Nagaland,0.5432100000000001
India,Kerala,0.529151
Israel,Israel,0.519762
Japan,Aichi-ken,0.49356099999999997
Japan,Akita-ken,0.46785200000000005
Japan,Aomori-ken,0.478475
Japan,Chiba-ken,0.488417
Japan,Ehime-ken,0.476813
Japan,Fukui-ken,0.48255699999999996
Japan,Fukuoka-ken,0.48849
Japan,Fukushima-ken,0.480004
Japan,Gifu-ken,0.48456099999999996
Japan,Gumma-ken,0.485832
Japan,Hiroshima-ken,0.484683
Japan,Hokkaido,0.480192
Japan,Hyogo-ken,0.48601000000000005
