country,location,artotal
Australia,Australian_Capital_Territory,0.344785
Australia,New_South_Wales,0.304398
Australia,Northern_Territory,0.32904
Australia,Queensland,0.309136
Australia,South_Australia,0.291744
Australia,Tasmania,0.28295
Australia,Victoria,0.30443600000000004
Australia,Western_Australia,0.31826
Canada,Alberta,0.355926
Canada,British_Columbia,0.275021
Canada,Manitoba,0.334289
Canada,New_Brunswick,0.261856
Canada,Newfoundland_and_Labrador,0.260033
Canada,Nova_Scotia,0.275343
Canada,Ontario,0.32718200000000003
Canada,Prince_Edward_Island,0.324807
Canada,Quebec,0.25451799999999997
Canada,Saskatchewan,0.319868
Canada,Northwest_Territories,0.308217
Canada,Nunavut,0.375423
Canada,Yukon,0.330488
China,Anhui,0.32055300000000003
China,Beijing,0.19073199999999998
China,Chongqing,0.299552
China,Fujian,0.312985
China,Gansu,0.36433899999999997
China,Guangdong,0.347965
China,Guangxi,0.379474
China,Guizhou,0.396431
China,Hainan,0.359246
China,Hebei,0.325901
China,Heilongjiang,0.256683
China,Henan,0.361664
China,Hubei,0.309004
China,Hunan,0.333476
China,Inner_Mongolia,0.28994699999999995
China,Jiangsu,0.28067
China,Jiangxi,0.369481
China,Jilin,0.2573
China,Liaoning,0.24182800000000002
China,Ningxia,0.362693
China,Qinghai,0.365012
China,Shaanxi,0.33221100000000003
China,Shandong,0.319513
China,Shanghai,0.203691
China,Shanxi,0.327227
China,Sichuan,0.34051
China,Tianjin,0.226044
China,Tibet,0.33103
China,Xinjiang,0.359788
China,Yunnan,0.391862
China,Zhejiang,0.2794
India,Uttar_Pradesh,0.418626
India,Rajasthan,0.444495
India,Haryana,0.41254799999999997
India,Puducherry,0.354875
India,West_Bengal,0.35375300000000004
India,Andhra_Pradesh,0.4174
India,Arunachal_Pradesh,0.49370699999999995
India,Sikkim,0.474213
India,Assam,0.383598
India,Uttarakhand,0.437803
India,Tamil_Nadu,0.374778
India,Mizoram,0.458027
India,Himachal_Pradesh,0.43282
India,Meghalaya,0.484227
India,Gujarat,0.382429
India,Odisha,0.36843200000000004
India,Maharashtra,0.404254
India,Nct_of_Delhi,0.377152
India,Chhattisgarh,0.45406599999999997
India,Manipur,0.46435
India,Bihar,0.403409
India,Tripura,0.38654499999999997
India,Jammu_and_Kashmir,0.41450299999999995
India,Punjab,0.357412
India,Goa,0.355612
India,Madhya_Pradesh,0.43755
India,Jharkhand,0.438687
India,Andaman_and_Nicobar_Islands,0.361313
India,Karnataka,0.39339
India,Daman_and_Diu,0.341886
India,Nagaland,0.508625
India,Kerala,0.33560100000000004
Israel,Israel,0.36562100000000003
Japan,Aichi-ken,0.26965500000000003
Japan,Akita-ken,0.2283
Japan,Aomori-ken,0.24754
Japan,Chiba-ken,0.24874200000000002
Japan,Ehime-ken,0.246342
Japan,Fukui-ken,0.280334
Japan,Fukuoka-ken,0.25529
Japan,Fukushima-ken,0.25521
Japan,Gifu-ken,0.269096
Japan,Gumma-ken,0.26562800000000003
Japan,Hiroshima-ken,0.25527
Japan,Hokkaido,0.228528
Japan,Hyogo-ken,0.255648
Japan,Ibaraki-ken,0.258403
Japan,Ishikawa-ken,0.272515
Japan,Iwate-ken,0.248036
Japan,Kagawa-ken,0.257312
Japan,Kagoshima-ken,0.25353400000000004
Japan,Kanagawa-ken,0.24881
Japan,Kochi-ken,0.232552
Japan,Kumamoto-ken,0.256843
Japan,Kyoto-fu,0.252898
Japan,Mie-ken,0.25269
Japan,Miyagi-ken,0.254936
Japan,Miyazaki-ken,0.26345999999999997
Japan,Nagano-ken,0.25665
Japan,Nagasaki-ken,0.253342
Japan,Nara-ken,0.248725
Japan,Niigata-ken,0.249522
Japan,Oita-ken,0.252427
Japan,Okayama-ken,0.25859899999999997
Japan,Okinawa-ken,0.302284
Japan,Osaka-fu,0.254137
Japan,Saga-ken,0.277267
Japan,Saitama-ken,0.256215
Japan,Shiga-ken,0.28354
Japan,Shimane-ken,0.247998
Japan,Shizuoka-ken,0.267403
Japan,Tochigi-ken,0.263308
