country,location,year,population_size,source
Russia,Zabaykalsky_Krai,2010,1107107,https://www.gks.ru/free_doc/new_site/perepis2010/croc/perepis_itogi1612.htm
South_Africa,Eastern_Cape,2011,6562053,https://www.statssa.gov.za/publications/P03014/P030142011.pdf
South_Africa,Free_State,2011,2745590,https://www.statssa.gov.za/publications/P03014/P030142011.pdf
South_Africa,Gauteng,2011,12272263,https://www.statssa.gov.za/publications/P03014/P030142011.pdf
South_Africa,KwaZulu-Natal,2011,10267300,https://www.statssa.gov.za/publications/P03014/P030142011.pdf
South_Africa,Limpopo,2011,5404868,https://www.statssa.gov.za/publications/P03014/P030142011.pdf
South_Africa,Mpumalanga,2011,4039939,https://www.statssa.gov.za/publications/P03014/P030142011.pdf
South_Africa,Northern_Cape,2011,1145861,https://www.statssa.gov.za/publications/P03014/P030142011.pdf
South_Africa,North_West,2011,3509953,https://www.statssa.gov.za/publications/P03014/P030142011.pdf
South_Africa,Western_Cape,2011,5822734,https://www.statssa.gov.za/publications/P03014/P030142011.pdf
South_Africa,South_Africa,2011,51770560,https://www.statssa.gov.za/publications/P03014/P030142011.pdf
United_States,Alabama,2010,4903185,https://www.census.gov/
United_States,Alaska,2010,731545,https://www.census.gov/
United_States,Arizona,2010,7278717,https://www.census.gov/
United_States,Arkansas,2010,3017804,https://www.census.gov/
United_States,California,2010,39512223,https://www.census.gov/
United_States,Colorado,2010,5758736,https://www.census.gov/
United_States,Connecticut,2010,3565287,https://www.census.gov/
United_States,Delaware,2010,973764,https://www.census.gov/
United_States,District_of_Columbia,2010,705749,https://www.census.gov/
United_States,Florida,2010,21477737,https://www.census.gov/
United_States,Georgia,2010,10617423,https://www.census.gov/
United_States,Hawaii,2010,1415872,https://www.census.gov/
United_States,Idaho,2010,1787065,https://www.census.gov/
United_States,Illinois,2010,12671821,https://www.census.gov/
United_States,Indiana,2010,6732219,https://www.census.gov/
United_States,Iowa,2010,3155070,https://www.census.gov/
United_States,Kansas,2010,2913314,https://www.census.gov/
United_States,Kentucky,2010,4467673,https://www.census.gov/
United_States,Louisiana,2010,4648794,https://www.census.gov/
United_States,Maine,2010,1344212,https://www.census.gov/
United_States,Maryland,2010,6045680,https://www.census.gov/
United_States,Massachusetts,2010,6892503,https://www.census.gov/
United_States,Michigan,2010,9986857,https://www.census.gov/
United_States,Minnesota,2010,5639632,https://www.census.gov/
United_States,Mississippi,2010,2976149,https://www.census.gov/
United_States,Missouri,2010,6137428,https://www.census.gov/
United_States,Montana,2010,1068778,https://www.census.gov/
United_States,Nebraska,2010,1934408,https://www.census.gov/
United_States,Nevada,2010,3080156,https://www.census.gov/
United_States,New_Hampshire,2010,1359711,https://www.census.gov/
United_States,New_Jersey,2010,8882190,https://www.census.gov/
United_States,New_Mexico,2010,2096829,https://www.census.gov/
United_States,New_York,2010,19453561,https://www.census.gov/
United_States,North_Carolina,2010,10488084,https://www.census.gov/
United_States,North_Dakota,2010,762062,https://www.census.gov/
United_States,Ohio,2010,11689100,https://www.census.gov/
United_States,Oklahoma,2010,3956971,https://www.census.gov/
United_States,Oregon,2010,4217737,https://www.census.gov/
United_States,Pennsylvania,2010,12801989,https://www.census.gov/
United_States,Puerto_Rico,2010,3193694,https://www.census.gov/
United_States,Rhode_Island,2010,1059361,https://www.census.gov/
United_States,South_Carolina,2010,5148714,https://www.census.gov/
United_States,South_Dakota,2010,884659,https://www.census.gov/
United_States,Tennessee,2010,6829174,https://www.census.gov/
United_States,Texas,2010,28995881,https://www.census.gov/
United_States,Utah,2010,3205958,https://www.census.gov/
United_States,Vermont,2010,623989,https://www.census.gov/
United_States,Virginia,2010,8535519,https://www.census.gov/
United_States,Washington,2010,7614893,https://www.census.gov/
United_States,West_Virginia,2010,1792147,https://www.census.gov/
United_States,Wisconsin,2010,5822434,https://www.census.gov/
United_States,Wyoming,2010,578759,https://www.census.gov/
United_States,United_States,2010,328239523,https://www.census.gov/
