country,location,year,population_size,source
Europe,Denmark,2011,5560628,https://ec.europa.eu/CensusHub2/query.do?step=selectHyperCube&qhc=false
Europe,Latvia,2011,2070371,https://ec.europa.eu/CensusHub2/query.do?step=selectHyperCube&qhc=false
Europe,Estonia,2011,1294455,https://ec.europa.eu/CensusHub2/query.do?step=selectHyperCube&qhc=false
Europe,Hungary,2011,9937628,https://ec.europa.eu/CensusHub2/query.do?step=selectHyperCube&qhc=false
Europe,Luxembourg,2011,512353,https://ec.europa.eu/CensusHub2/query.do?step=selectHyperCube&qhc=false
Europe,Bulgaria,2011,7364570,https://ec.europa.eu/CensusHub2/query.do?step=selectHyperCube&qhc=false
Europe,Czech,2011,10436560,https://ec.europa.eu/CensusHub2/query.do?step=selectHyperCube&qhc=false
Europe,Switzerland,2011,7954662,https://ec.europa.eu/CensusHub2/query.do?step=selectHyperCube&qhc=false
Europe,Sweden,2011,9482855,https://ec.europa.eu/CensusHub2/query.do?step=selectHyperCube&qhc=false
Europe,Cyprus,2011,840407,https://ec.europa.eu/CensusHub2/query.do?step=selectHyperCube&qhc=false
India,Uttar_Pradesh,2011,199812341,https://censusindia.gov.in/2011census/C-series/C-13.html
India,Rajasthan,2011,68548437,https://censusindia.gov.in/2011census/C-series/C-13.html
India,Haryana,2011,25351462,https://censusindia.gov.in/2011census/C-series/C-13.html
India,Puducherry,2011,1247953,https://censusindia.gov.in/2011census/C-series/C-13.html
India,West_Bengal,2011,91276115,https://censusindia.gov.in/2011census/C-series/C-13.html
India,Andhra_Pradesh,2011,84580777,https://censusindia.gov.in/2011census/C-series/C-13.html
India,Dadra_and_Nagar_Haveli,2011,343709,https://censusindia.gov.in/2011census/C-series/C-13.html
India,Arunachal_Pradesh,2011,1383727,https://censusindia.gov.in/2011census/C-series/C-13.html
India,Sikkim,2011,610577,https://censusindia.gov.in/2011census/C-series/C-13.html
India,Assam,2011,31205576,https://censusindia.gov.in/2011census/C-series/C-13.html
India,Uttarakhand,2011,10086292,https://censusindia.gov.in/2011census/C-series/C-13.html
India,Tamil_Nadu,2011,72147030,https://censusindia.gov.in/2011census/C-series/C-13.html
India,Mizoram,2011,1097206,https://censusindia.gov.in/2011census/C-series/C-13.html
India,Himachal_Pradesh,2011,6864602,https://censusindia.gov.in/2011census/C-series/C-13.html
India,Chandigarh,2011,1055450,https://censusindia.gov.in/2011census/C-series/C-13.html
India,Meghalaya,2011,2966889,https://censusindia.gov.in/2011census/C-series/C-13.html
India,Gujarat,2011,60439692,https://censusindia.gov.in/2011census/C-series/C-13.html
India,Odisha,2011,41974218,https://censusindia.gov.in/2011census/C-series/C-13.html
India,Maharashtra,2011,112374333,https://censusindia.gov.in/2011census/C-series/C-13.html
India,Nct_of_Delhi,2011,16787941,https://censusindia.gov.in/2011census/C-series/C-13.html
India,Lakshadweep,2011,64473,https://censusindia.gov.in/2011census/C-series/C-13.html
India,Chhattisgarh,2011,25545198,https://censusindia.gov.in/2011census/C-series/C-13.html
India,Manipur,2855794,2011,https://censusindia.gov.in/2011census/C-series/C-13.html
India,Bihar,2011,104099452,https://censusindia.gov.in/2011census/C-series/C-13.html
